risk_rank,product_group,hs_code,hs_description,top_supplier_country,total_product_import_value,top_supplier_import_value,top_supplier_share,concentration_risk_level,value_at_risk_30pct_disruption,value_at_risk_50pct_disruption,import_exposure_score,concentration_score,disruption_exposure_score,final_risk_score,diversification_priority
1,Computer parts,8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,TAIWAN,88910097558,46240501585,0.52008155265868727616,High,13872150475.50,23120250792.50,76.47058823529412,88.23529411764706,94.11764705882352,87.64705882352942,High Priority
2,Computers / data processing machines,8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",MEXICO,251026379687,89912651286,0.35818009006906114087,Medium,26973795385.80,44956325643.00,100,64.70588235294117,100,87.6470588235294,High Priority
3,Auto parts,8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",MEXICO,82264694661,34962126717,0.42499552038785874562,Medium,10488638015.10,17481063358.50,70.58823529411765,70.58823529411765,88.23529411764706,77.64705882352942,High Priority
4,Insulated wires / cables,8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",MEXICO,36100737250,17795529733,0.49294089507825771619,Medium,5338658919.90,8897764866.50,52.94117647058824,82.35294117647058,70.58823529411765,70.29411764705883,Medium Priority
5,Telecom equipment,8517,TELEPHONE SETS INCL SMARTPHONES AND OTH PHONES FOR CELLULAR NETWORKS/OTHER WIRELESS NETWORKS; OTH APPARATUS FOR THE TRANS/RECEP OF VOICE/IMAGE/DATA,VIETNAM,142140930945,30809943726,0.21675631024199213289,Low,9242983117.80,15404971863.00,94.11764705882352,29.411764705882355,82.35294117647058,66.76470588235294,Medium Priority
6,Vaccines / blood / biological products,3002,"HUMAN AND ANIMAL BLOOD, PREPARED; ANTISERA OTHER BLOOD FRCTNS IMMUNOLOGICAL PROD; VACCINES, TXNS, CULTURES OF MICRO-ORGANISMS (EXC YEASTS) & LIKE PROD",IRELAND,109468026184,28570726669,0.26099608867503210192,Low,8571218000.70,14285363334.50,88.23529411764706,35.294117647058826,76.47058823529412,65,Medium Priority
7,Integrated circuits,8542,ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES; PARTS THEREOF,TAIWAN,42201779549,12934765125,0.30649809707625227612,Medium,3880429537.50,6467382562.50,58.82352941176471,52.94117647058824,58.82352941176471,56.76470588235294,Medium Priority
8,Batteries / energy storage,8507,"ELECTRIC STORAGE BATTERIES, INCLUDING SEPARATORS THEREFOR; PARTS THEREOF",CHINA,26678657844,12737151932,0.47742851257656393219,Medium,3821145579.60,6368575966.00,41.17647058823529,76.47058823529412,47.05882352941176,55.882352941176464,Medium Priority
9,Unwrought aluminum,7601,"ALUMINUM, UNWROUGHT",CANADA,9701380222,5979261235,0.61633098571280798935,High,1793778370.50,2989630617.50,23.52941176470588,100,35.294117647058826,55,Medium Priority
10,Medical instruments,9018,"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES (INCLUDING ELECTRO-MEDICAL AND SIGHT-TESTING); PARTS ETC. THEREOF",MEXICO,44054109278,12915774349,0.29317978641892449523,Low,3874732304.70,6457887174.50,64.70588235294117,47.05882352941176,52.94117647058824,53.82352941176471,Medium Priority
11,Medicaments,3004,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), OF PRODUCTS (MIXED OR NOT) FOR THERAPEUTIC ETC. USES, IN DOSAGE OR RETAIL SALE FORM",SWITZERLAND,93615110026,15003472703,0.16026763947436521063,Low,4501041810.90,7501736351.50,82.35294117647058,5.88235294117647,64.70588235294117,48.529411764705884,Lower Priority
12,Unwrought nickel,7502,"NICKLE, UNWROUGHT",CANADA,1383279624,784000890,0.56676963673687425038,High,235200267.00,392000445.00,11.76470588235294,94.11764705882352,11.76470588235294,40.58823529411764,Lower Priority
13,Orthopedic / medical appliances,9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,IRELAND,19254202488,5627408568,0.29226910704337036470,Low,1688222570.40,2813704284.00,35.294117647058826,41.17647058823529,29.411764705882355,35,Lower Priority
14,Transformers / power converters,8504,"ELECTRICAL TRANSFORMERS, STATIC CONVERTERS OR INDUCTORS; POWER SUPPLIES FOR ADP MACHINES OR UNITS; PARTS THEREOF",MEXICO,34595252176,6238713654,0.18033438872655552803,Low,1871614096.20,3119356827.00,47.05882352941176,11.76470588235294,41.17647058823529,32.35294117647059,Lower Priority
15,Printed circuits,8534,PRINTED CIRCUITS,TAIWAN,2971201813,996749880,0.33547027187412395403,Medium,299024964.00,498374940.00,17.647058823529413,58.82352941176471,17.647058823529413,32.05882352941177,Lower Priority
