product_group,hs_code,hs_description,top_supplier_country,total_product_import_value,top_supplier_import_value,top_supplier_share,concentration_risk_level,value_at_risk_30pct_disruption,value_at_risk_50pct_disruption
Computers / data processing machines,8471,"AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF; MAGNETIC OR OPTICAL READERS, MACHINES FOR TRANSCRIBING AND PROCESSING CODED DATA, NESOI",MEXICO,251026379687,89912651286,0.35818009006906115,Medium,26973795385.8,44956325643.0
Computer parts,8473,PARTS AND ACCESSORIES NESOI FOR TYPEWRITERS AND OTHER OFFICE MACHINES OF HEADINGS 8469 TO 8472,TAIWAN,88910097558,46240501585,0.5200815526586873,High,13872150475.5,23120250792.5
Auto parts,8708,"PARTS AND ACCESSORIES FOR TRACTORS, PUBLIC-TRANSPORT PASSENGER VEHICLES, MOTOR CARS, GOODS TRANSPORT MOTOR VEHICLES AND SPECIAL PURPOSE MOTOR VEHICLES",MEXICO,82264694661,34962126717,0.42499552038785876,Medium,10488638015.1,17481063358.5
Telecom equipment,8517,TELEPHONE SETS INCL SMARTPHONES AND OTH PHONES FOR CELLULAR NETWORKS/OTHER WIRELESS NETWORKS; OTH APPARATUS FOR THE TRANS/RECEP OF VOICE/IMAGE/DATA,VIETNAM,142140930945,30809943726,0.21675631024199213,Low,9242983117.8,15404971863.0
Vaccines / blood / biological products,3002,"HUMAN AND ANIMAL BLOOD, PREPARED; ANTISERA OTHER BLOOD FRCTNS IMMUNOLOGICAL PROD; VACCINES, TXNS, CULTURES OF MICRO-ORGANISMS (EXC YEASTS) & LIKE PROD",IRELAND,109468026184,28570726669,0.2609960886750321,Low,8571218000.7,14285363334.5
Insulated wires / cables,8544,"INSULATED WIRE, CABLE AND OTHER INSULATED ELECTRICAL CONDUCTORS; OPTICAL FIBER CABLES, OF INDIVIDUALLY SHEATHED FIBERS, WITH CONDUCTORS ETC. OR NOT",MEXICO,36100737250,17795529733,0.4929408950782577,Medium,5338658919.9,8897764866.5
Medicaments,3004,"MEDICAMENTS (EXCEPT VACCINES ETC., BANDAGES OR PHARMACEUTICALS), OF PRODUCTS (MIXED OR NOT) FOR THERAPEUTIC ETC. USES, IN DOSAGE OR RETAIL SALE FORM",SWITZERLAND,93615110026,15003472703,0.1602676394743652,Low,4501041810.9,7501736351.5
Integrated circuits,8542,ELECTRONIC INTEGRATED CIRCUITS AND MICROASSEMBLIES; PARTS THEREOF,TAIWAN,42201779549,12934765125,0.30649809707625225,Medium,3880429537.5,6467382562.5
Medical instruments,9018,"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES (INCLUDING ELECTRO-MEDICAL AND SIGHT-TESTING); PARTS ETC. THEREOF",MEXICO,44054109278,12915774349,0.2931797864189245,Low,3874732304.7,6457887174.5
Batteries / energy storage,8507,"ELECTRIC STORAGE BATTERIES, INCLUDING SEPARATORS THEREFOR; PARTS THEREOF",CHINA,26678657844,12737151932,0.47742851257656393,Medium,3821145579.6,6368575966.0
Transformers / power converters,8504,"ELECTRICAL TRANSFORMERS, STATIC CONVERTERS OR INDUCTORS; POWER SUPPLIES FOR ADP MACHINES OR UNITS; PARTS THEREOF",MEXICO,34595252176,6238713654,0.18033438872655552,Low,1871614096.2,3119356827.0
Unwrought aluminum,7601,"ALUMINUM, UNWROUGHT",CANADA,9701380222,5979261235,0.616330985712808,High,1793778370.5,2989630617.5
Orthopedic / medical appliances,9021,ORTHOPEDIC APPLIANCES; SPLINTS ETC.; ARTIFICIAL PARTS OF THE BODY; HEARING AIDS AND OTHER APPLIANCES TO COMPENSATE FOR A DEFECT ETC.; PARTS ETC.,IRELAND,19254202488,5627408568,0.2922691070433704,Low,1688222570.3999999,2813704284.0
Semiconductor devices,8541,SEMICONDUCTOR DEVICES; PHOTOSENSITIVE SEMICONDUCTOR DEVICES INCL PHOTOVOLTAIC CELLS; LIGHT-EMITTING DIODES (LED); MOUNTED PIEZO-ELEC CRYSTALS; PARTS,INDONESIA,14710020340,3112593803,0.2115968388253092,Low,933778140.9,1556296901.5
Printed circuits,8534,PRINTED CIRCUITS,TAIWAN,2971201813,996749880,0.3354702718741239,Medium,299024964.0,498374940.0
Unwrought nickel,7502,"NICKLE, UNWROUGHT",CANADA,1383279624,784000890,0.5667696367368743,High,235200267.0,392000445.0
Cobalt articles,8105,"COBALT MATTES AND OTHER INTERMEDIATE PRODUCTS OF COBALT METALLURGY; COBALT AND ARTICLES THEREOF, INCLUDING WASTE AND SCRAP",CANADA,479258634,88804772,0.1852961338616176,Low,26641431.599999998,44402386.0
